sig_id,drug_id
id_000644bb2,b68db1d53
id_000779bfc,df89a8e5a
id_000a6266a,18bb41b2c
id_0015fd391,8c7f86626
id_001626bd3,7cbed3131
id_001762a82,e06749542
id_001bd861f,746ca1f5a
id_0020d0484,8b87a7a83
id_00224bf20,952b76dfc
id_0023f063e,de7583071
id_002452c7e,89dea2045
id_0024bcd70,b877aa048
id_0025c5949,eecfc72b8
id_00289dc6e,668260b02
id_002d31e2c,e0cd5c091
id_002e08ff8,6fe04582f
id_002fb9c19,87d714366
id_0031dd989,96b9ac123
id_003603254,3cda750b5
id_0036b0342,d14919a0e
id_0039a2ff9,224c01471
id_003b43239,b82c2dad0
id_003d4b6f0,b67df960c
id_003fdd734,f4e4006d9
id_00505b3c8,06008aff2
id_0054388ec,cacb2b860
id_00548fd5c,c4e054ded
id_00578737a,a1f4f1154
id_005c3cb48,1e83e8b52
id_005c3ee1a,a3d118bcd
id_0062bfc63,04765e596
id_0063cd461,cb6fd5cd9
id_006e27d96,808cb9eea
id_006f253ab,4a65421e6
id_006f6dbd6,bcfa1dcb0
id_0070c63e7,efa4a3106
id_00762e877,0c3e1a7e3
id_0077e36b9,252bf6e2a
id_0079af0fb,cacb2b860
id_0079d45d3,292ab2c28
id_007bfbb91,cacb2b860
id_0080f169f,de6954488
id_00816e002,3f472c8fb
id_00849b0f8,10e92bab7
id_00872d938,292ab2c28
id_0089590d4,20c9d8e5c
id_008a18cef,b66b0e2f9
id_008a986b7,cacb2b860
id_008b48693,5628cb3ee
id_008c40337,3cdc48274
id_008dfb160,5c9c8a14c
id_008f35497,ab6e8a3f1
id_008f5b224,1196f6507
id_0090da7e9,a2a784ba2
id_009140ea3,5b4c20c9e
id_0092c905e,e45ad489d
id_009379beb,5628cb3ee
id_0093bf6b8,d50f18348
id_0094ce209,9288cf822
id_00997a3a8,f30e9ac81
id_009afed7f,af92887f9
id_009bb5487,b627b4156
id_009d60bd9,1a52478dc
id_009d8340f,cacb2b860
id_009da9c07,66f251fd0
id_00a4acf2d,6def270ae
id_00a5912c8,07b2e0af0
id_00a6e782e,e16d18580
id_00ac7c837,6bc52f3ab
id_00b363e33,6b8b675cc
id_00be9e759,b556d4383
id_00bee1bc5,399610c85
id_00c240861,f4f4771c9
id_00c3672d5,7614ec763
id_00c99b509,9ef139b37
id_00ceee87f,9f80f3f77
id_00cf039a7,87d714366
id_00cf304ae,f3f77dac0
id_00cfd9aea,3a609039d
id_00d41e2da,5d9bb0ebe
id_00d421ae2,aef80fc76
id_00d575cfb,cacb2b860
id_00ea9ff8b,db657e8ac
id_00eae2e04,d1b47f29d
id_00eb9953e,e989a62f1
id_00f08ca12,512c62e9f
id_00f11ed38,8b87a7a83
id_00f3fd495,a47435fba
id_00f532aa2,4c5736ff6
id_00f62af34,c5f51d7e8
id_00f92f0b2,84342a1f5
id_00f982099,f30e9ac81
id_00fb2c241,0a303746d
id_00fe43a96,abe3d3a3f
id_00ff52a2c,a2da0271b
id_010385a91,0b0c1110a
id_010629f4f,cacb2b860
id_0106bfcfd,b4aa74397
id_010aa48d5,a20704b85
id_010b6dcd3,a31885e97
id_010d00d5f,236738f2a
